 7.46833 seconds
         7592052 function calls (7589898 primitive calls) in 7.624 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      766    0.001    0.000    0.001    0.000 typing.py:329(__hash__)
      159    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        9    0.001    0.000    0.002    0.000 enum.py:134(__new__)
      601    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
    143/2    0.001    0.000    0.155    0.077 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        1    0.001    0.001    0.001    0.001 threading.py:1(<module>)
        1    0.001    0.001    0.004    0.004 configparser.py:560(RawConfigParser)
     1114    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      345    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      966    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       13    0.000    0.000    0.001    0.000 _make.py:548(_create_slots_class)
   193/63    0.000    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      375    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       35    0.000    0.000    0.001    0.000 _make.py:1461(_attrs_to_init_script)
      974    0.000    0.000    0.000    0.000 typing.py:669(<genexpr>)
       14    0.000    0.000    0.139    0.010 __init__.py:1(<module>)
      489    0.000    0.000    0.001    0.000 typing.py:324(__eq__)
       82    0.000    0.000    0.001    0.000 uuid.py:130(__init__)
  135/134    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      115    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
       82    0.000    0.000    0.001    0.000 _make.py:1823(<dictcomp>)
       78    0.000    0.000    0.002    0.000 _make.py:1058(_generate_unique_filename)
        9    0.000    0.000    0.001    0.000 enum.py:176(<setcomp>)
       36    0.000    0.000    0.005    0.000 _make.py:308(_transform_attrs)
      230    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      120    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
