 7.46833 seconds
         7592052 function calls (7589898 primitive calls) in 7.624 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 findpaths.py:1(<module>)
       14    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 argparse.py:4(<module>)
       21    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nodes.py:111(Node)
        4    0.000    0.000    0.012    0.003 platform.py:746(uname)
        1    0.000    0.000    0.000    0.000 main.py:439(Session)
       78    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
       34    0.000    0.000    0.000    0.000 typing.py:524(__eq__)
        1    0.000    0.000    0.001    0.001 source.py:1(<module>)
        1    0.000    0.000    0.001    0.001 python.py:929(Metafunc)
       64    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.007    0.007 subprocess.py:368(check_output)
       24    0.000    0.000    0.000    0.000 tokenize.py:94(<listcomp>)
        1    0.000    0.000    7.468    7.468 svd.py:99(compute_svd)
       60    0.000    0.000    0.000    0.000 _make.py:1089(<genexpr>)
       77    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       21    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        6    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 rewrite.py:591(AssertionRewriter)
        9    0.000    0.000    0.000    0.000 types.py:171(__get__)
        9    0.000    0.000    0.000    0.000 hooks.py:101(setattr_hookimpl_opts)
       76    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        3    0.000    0.000    0.000    0.000 posixpath.py:334(normpath)
        1    0.000    0.000    0.001    0.001 code.py:644(FormattedExcinfo)
        1    0.000    0.000    0.004    0.004 subprocess.py:10(<module>)
        1    0.000    0.000    0.001    0.001 code.py:418(ExceptionInfo)
       29    0.000    0.000    0.000    0.000 _make.py:1043(_has_frozen_base_class)
       14    0.000    0.000    0.000    0.000 matrix.py:56(zeroes)
        3    0.000    0.000    0.002    0.001 enum.py:439(_convert_)
        1    0.000    0.000    0.000    0.000 csv.py:2(<module>)
        4    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       21    0.000    0.000    0.013    0.001 re.py:250(compile)
       32    0.000    0.000    0.000    0.000 {built-in method math.cos}
        1    0.000    0.000    0.000    0.000 _compat.py:1(<module>)
        1    0.000    0.000    0.000    0.000 uuid.py:76(UUID)
       47    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 debugging.py:1(<module>)
        1    0.000    0.000    0.001    0.001 structures.py:77(ParameterSet)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f50ad489430}
       36    0.000    0.000    0.000    0.000 _make.py:387(<listcomp>)
       46    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 pathlib.py:625(PurePath)
        1    0.000    0.000    0.000    0.000 typing.py:1838(IO)
       50    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       36    0.000    0.000    0.000    0.000 _make.py:372(<dictcomp>)
       35    0.000    0.000    0.000    0.000 _make.py:1343(<listcomp>)
        9    0.000    0.000    0.000    0.000 enum.py:58(__init__)
        5    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
       11    0.000    0.000    0.000    0.000 functools.py:487(lru_cache)
       34    0.000    0.000    0.000    0.000 {built-in method math.log}
        1    0.000    0.000    0.001    0.001 manager.py:1(<module>)
       48    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
       15    0.000    0.000    0.000    0.000 _make.py:1512(fmt_setter)
        1    0.000    0.000    0.001    0.001 copy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 platform.py:972(_sys_version)
       21    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.072    0.072 collect.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        1    0.000    0.000    0.001    0.001 argparsing.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:248(_tp_cache)
       19    0.000    0.000    0.000    0.000 tokenize.py:58(group)
        1    0.000    0.000    0.000    0.000 python_api.py:312(ApproxDecimal)
        1    0.000    0.000    0.000    0.000 argparsing.py:30(Parser)
        1    0.000    0.000    0.000    0.000 contextlib.py:385(__init__)
        1    0.000    0.000    0.001    0.001 _version_info.py:1(<module>)
       43    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       48    0.000    0.000    0.000    0.000 {method 'endswith' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:482(__exit__)
        3    0.000    0.000    0.000    0.000 {built-in method _csv.register_dialect}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        1    0.000    0.000    0.000    0.000 local.py:111(LocalPath)
        4    0.000    0.000    0.000    0.000 outcomes.py:95(_with_exception)
       40    0.000    0.000    0.000    0.000 enum.py:462(<lambda>)
       27    0.000    0.000    0.000    0.000 _make.py:1169(<listcomp>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        2    0.000    0.000    0.000    0.000 subprocess.py:1772(_wait)
        1    0.000    0.000    0.007    0.007 platform.py:3(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
        4    0.000    0.000    0.000    0.000 {built-in method posix.close}
        1    0.000    0.000    0.000    0.000 pathlib.py:119(_WindowsFlavour)
        1    0.000    0.000    0.001    0.001 fixtures.py:1382(FixtureManager)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 subprocess.py:99(CalledProcessError)
        1    0.000    0.000    0.000    0.000 fixtures.py:422(FixtureRequest)
        9    0.000    0.000    0.000    0.000 enum.py:332(__getattr__)
       25    0.000    0.000    0.000    0.000 _make.py:1208(<listcomp>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
       36    0.000    0.000    0.000    0.000 _make.py:469(<genexpr>)
        6    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       38    0.000    0.000    0.000    0.000 _make.py:588(<genexpr>)
        1    0.000    0.000    0.000    0.000 source.py:17(Source)
        1    0.000    0.000    0.000    0.000 code.py:292(Traceback)
        1    0.000    0.000    0.000    0.000 common.py:1(<module>)
        1    0.000    0.000    0.001    0.001 saferepr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reports.py:60(BaseReport)
        1    0.000    0.000    0.000    0.000 terminalwriter.py:40(TerminalWriter)
        7    0.000    0.000    0.000    0.000 typing.py:307(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        1    0.000    0.000    0.000    0.000 _make.py:1893(<listcomp>)
       12    0.000    0.000    0.000    0.000 opcode.py:43(name_op)
        1    0.000    0.000    7.624    7.624 profile_one.py:2(<module>)
        1    0.000    0.000    0.000    0.000 argparsing.py:370(MyOptionParser)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
       32    0.000    0.000    0.000    0.000 {built-in method math.sin}
        1    0.000    0.000    0.012    0.012 platform.py:603(_syscmd_uname)
       21    0.000    0.000    0.000    0.000 typing.py:839(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.000    0.000 python.py:1508(Function)
        1    0.000    0.000    0.000    0.000 threading.py:222(__init__)
        1    0.000    0.000    0.000    0.000 rewrite.py:57(AssertionRewritingHook)
        1    0.000    0.000    0.145    0.145 matrix_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        1    0.000    0.000    0.000    0.000 truncate.py:1(<module>)
       36    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       28    0.000    0.000    0.000    0.000 typing.py:598(<genexpr>)
       32    0.000    0.000    0.000    0.000 typing.py:1391(final)
        1    0.000    0.000    0.001    0.001 fixtures.py:971(FixtureDef)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
        2    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 :1(FormattedExcinfoAttributes)
        1    0.000    0.000    0.000    0.000 threading.py:761(__init__)
        3    0.000    0.000    0.000    0.000 pathlib.py:654(_parse_args)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 fixtures.py:1160(wrap_function_to_error_out_if_called_directly)
        1    0.000    0.000    0.000    0.000 os.py:613(get_exec_path)
        2    0.000    0.000    0.000    0.000 contextlib.py:463(_push_exit_callback)
        9    0.000    0.000    0.000    0.000 enum.py:151(<dictcomp>)
       22    0.000    0.000    0.000    0.000 hooks.py:21(__call__)
        1    0.000    0.000    0.000    0.000 pathlib.py:1021(Path)
       10    0.000    0.000    0.000    0.000 apipkg.py:94(<listcomp>)
       13    0.000    0.000    0.000    0.000 _compat.py:121(iteritems)
        1    0.000    0.000    0.000    0.000 pprint.py:11(<module>)
        1    0.000    0.000    0.000    0.000 random.py:78(Random)
       19    0.000    0.000    0.000    0.000 typing.py:889(<genexpr>)
        1    0.000    0.000    0.000    0.000 hooks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _funcs.py:116(astuple)
        1    0.000    0.000    0.001    0.001 terminalwriter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fixtures.py:1181(FixtureFunctionMarker)
        5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        5    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       13    0.000    0.000    0.000    0.000 functools.py:64(wraps)
        3    0.000    0.000    0.000    0.000 posixpath.py:150(dirname)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
        1    0.000    0.000    0.000    0.000 store.py:1(<module>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.000    0.000 store.py:27(Store)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        3    0.000    0.000    0.000    0.000 posixpath.py:372(abspath)
        1    0.000    0.000    0.000    0.000 numbers.py:147(Real)
        1    0.000    0.000    0.000    0.000 debugging.py:95(pytestPDB)
        1    0.000    0.000    0.000    0.000 typing.py:1591(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 metadata.py:143(Distribution)
        1    0.000    0.000    0.000    0.000 _compat.py:128(make_set_closure_cell)
        2    0.000    0.000    0.000    0.000 subprocess.py:1074(wait)
        1    0.000    0.000    0.000    0.000 bz2.py:30(BZ2File)
        4    0.000    0.000    0.012    0.003 platform.py:884(system)
        1    0.000    0.000    0.000    0.000 subprocess.py:684(Popen)
        1    0.000    0.000    0.000    0.000 matrix.py:22(Matrix)
        4    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.001    0.001 apipkg.py:40(initpkg)
        1    0.000    0.000    0.000    0.000 structures.py:203(Mark)
        1    0.000    0.000    0.000    0.000 structures.py:256(MarkDecorator)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _funcs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reports.py:229(TestReport)
        8    0.000    0.000    0.000    0.000 _make.py:1937(<genexpr>)
        1    0.000    0.000    0.000    0.000 nodes.py:552(Item)
        1    0.000    0.000    0.000    0.000 bdb.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _make.py:1914(_CountingAttr)
        1    0.000    0.000    0.000    0.000 outcomes.py:25(OutcomeException)
        1    0.000    0.000    0.071    0.071 deprecated.py:1(<module>)
        1    0.000    0.000    0.031    0.031 converters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:263(CallInfo)
        2    0.000    0.000    0.000    0.000 _make.py:1255(_add_eq)
        4    0.000    0.000    0.000    0.000 typing.py:868(__new__)
        4    0.000    0.000    0.000    0.000 outcomes.py:96(decorate)
        6    0.000    0.000    0.000    0.000 matrix.py:203(get_row)
       22    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 code.py:165(TracebackEntry)
        1    0.000    0.000    0.000    0.000 _make.py:429(_ClassBuilder)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _make.py:578(<listcomp>)
       14    0.000    0.000    0.000    0.000 matrix.py:68(<listcomp>)
        1    0.000    0.000    0.005    0.005 matrix.py:1(<module>)
     10/6    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 typing.py:1951(TextIO)
        1    0.000    0.000    0.000    0.000 random.py:123(seed)
        1    0.000    0.000    0.000    0.000 threading.py:1262(__init__)
        1    0.000    0.000    0.000    0.000 code.py:1034(ReprEntry)
        7    0.000    0.000    0.000    0.000 typing.py:1124(runtime_checkable)
        1    0.000    0.000    0.000    0.000 reports.py:384(CollectErrorRepr)
       13    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 _config.py:1(<module>)
        8    0.000    0.000    0.000    0.000 matrix_view.py:25(with_size)
       18    0.000    0.000    0.000    0.000 typing.py:1362(overload)
        1    0.000    0.000    0.000    0.000 functools.py:183(total_ordering)
        2    0.000    0.000    0.000    0.000 fixtures.py:1197(__call__)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparsing.py:196(Argument)
       15    0.000    0.000    0.000    0.000 enum.py:197(<genexpr>)
        3    0.000    0.000    0.000    0.000 pathlib.py:1035(__new__)
        1    0.000    0.000    0.000    0.000 subprocess.py:634(_use_posix_spawn)
        1    0.000    0.000    0.003    0.003 linecache.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fixtures.py:383(FuncFixtureInfo)
        1    0.000    0.000    0.000    0.000 givens.py:1(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:80(DictReader)
        1    0.000    0.000    0.000    0.000 python_api.py:703(RaisesContext)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        1    0.000    0.000    0.000    0.000 _compat.py:197(set_closure_cell)
        1    0.000    0.000    0.000    0.000 typing.py:1735(__new__)
       11    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        2    0.000    0.000    0.000    0.000 apipkg.py:16(_py_abspath)
        1    0.000    0.000    0.000    0.000 householder.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _make.py:1525(fmt_setter_with_converter)
        1    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 freeze_support.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
        1    0.000    0.000    0.000    0.000 recwarn.py:161(WarningsRecorder)
        1    0.000    0.000    0.000    0.000 local.py:320(dirpath)
        1    0.000    0.000    0.000    0.000 zipfile.py:1192(ZipFile)
        2    0.000    0.000    0.000    0.000 matrix.py:79(<listcomp>)
        6    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 __init__.py:832(InvocationParams)
        1    0.000    0.000    0.000    0.000 common.py:131(PathBase)
        1    0.000    0.000    0.000    0.000 wcwidth.py:1(<module>)
        3    0.000    0.000    0.000    0.000 pathlib.py:674(_from_parts)
        6    0.000    0.000    0.000    0.000 opcode.py:47(jrel_op)
        1    0.000    0.000    0.000    0.000 typing.py:1551(SupportsBytes)
        1    0.000    0.000    0.000    0.000 generate.py:10(<listcomp>)
        1    0.000    0.000    0.000    0.000 code.py:991(ReprTraceback)
        1    0.000    0.000    0.000    0.000 inspect.py:2416(_ParameterKind)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.006    0.006 generate.py:1(<module>)
        5    0.000    0.000    0.000    0.000 abc.py:89(register)
        1    0.000    0.000    0.000    0.000 code.py:957(ExceptionChainRepr)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 pathlib.py:395(_NormalAccessor)
        1    0.000    0.000    0.000    0.000 filters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:950(_get_devnull)
        1    0.000    0.000    0.000    0.000 threading.py:750(Thread)
        7    0.000    0.000    0.000    0.000 _make.py:1485(fmt_setter)
        1    0.000    0.000    0.000    0.000 expression.py:41(TokenType)
        2    0.000    0.000    0.000    0.000 contextlib.py:379(_create_cb_wrapper)
        3    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        1    0.000    0.000    0.000    0.000 {method 'replace' of 'code' objects}
        1    0.000    0.000    0.000    0.000 python.py:868(CallSpec2)
        1    0.000    0.000    0.000    0.000 nodes.py:453(Collector)
        9    0.000    0.000    0.000    0.000 hooks.py:69(__call__)
        2    0.000    0.000    0.000    0.000 typing.py:725(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:80(ExitCode)
        1    0.000    0.000    0.000    0.000 callers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 :1(_AttributesAttributes)
        1    0.000    0.000    0.000    0.000 uuid.py:70(SafeUUID)
        2    0.000    0.000    0.000    0.000 fixtures.py:1259(fixture)
        1    0.000    0.000    0.000    0.000 _make.py:1741(Attribute)
       14    0.000    0.000    0.000    0.000 typing.py:1065(<genexpr>)
        1    0.000    0.000    0.000    0.000 recwarn.py:232(WarningsChecker)
        1    0.000    0.000    0.000    0.000 code.py:55(Code)
        1    0.000    0.000    0.000    0.000 parse.py:353(_fix_result_transcoding)
        3    0.000    0.000    0.000    0.000 pathlib.py:292(splitroot)
        5    0.000    0.000    0.000    0.000 opcode.py:51(jabs_op)
        1    0.000    0.000    0.000    0.000 threading.py:341(notify)
        1    0.000    0.000    0.000    0.000 expression.py:173(MatcherAdapter)
        1    0.000    0.000    0.000    0.000 metadata.py:386(FastPath)
        1    0.000    0.000    0.000    0.000 matrix_view.py:1(<module>)
        2    0.000    0.000    0.000    0.000 os.py:1073(__subclasshook__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1088(__init__)
       12    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
        1    0.000    0.000    0.000    0.000 python.py:256(PyobjMixin)
        1    0.000    0.000    0.000    0.000 python.py:369(PyCollector)
        3    0.000    0.000    0.000    0.000 pathlib.py:941(parent)
        1    0.000    0.000    0.000    0.000 python.py:615(Package)
        1    0.000    0.000    0.000    0.000 reports.py:338(CollectReport)
        1    0.000    0.000    0.000    0.000 validators.py:342(_DeepMapping)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
        1    0.000    0.000    0.000    0.000 nodes.py:502(FSCollector)
        5    0.000    0.000    0.000    0.000 validators.py:280(is_callable)
        1    0.000    0.000    0.000    0.000 subprocess.py:1706(_handle_exitstatus)
        1    0.000    0.000    0.000    0.000 warning_types.py:99(UnformattedWarning)
        2    0.000    0.000    0.000    0.000 <attrs generated init _pytest.fixtures.FixtureFunctionMarker>:1(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:903(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 typing.py:650(_GenericAlias)
        1    0.000    0.000    0.000    0.000 contextlib.py:211(contextmanager)
        1    0.000    0.000    0.000    0.000 apipkg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 configparser.py:522(LegacyInterpolation)
        1    0.000    0.000    0.000    0.000 subprocess.py:907(__exit__)
        1    0.000    0.000    0.000    0.000 _version_info.py:37(_from_version_string)
        9    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1631(ArgumentParser)
        1    0.000    0.000    0.000    0.000 expression.py:73(Scanner)
        9    0.000    0.000    0.000    0.000 enum.py:664(value)
        1    0.000    0.000    0.000    0.000 python.py:833(Instance)
        1    0.000    0.000    0.000    0.000 subprocess.py:426(__init__)
        1    0.000    0.000    0.000    0.000 common.py:53(Checkers)
        1    0.000    0.000    0.000    0.000 _make.py:1545(fmt_setter_with_converter)
        3    0.000    0.000    0.000    0.000 pathlib.py:687(_from_parsed_parts)
        1    0.000    0.000    0.000    0.000 timing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:427(ImportMode)
        1    0.000    0.000    0.000    0.000 configparser.py:297(ParsingError)
        1    0.000    0.000    0.000    0.000 validators.py:295(_DeepIterable)
       10    0.000    0.000    0.000    0.000 _make.py:663(make_unhashable)
        2    0.000    0.000    0.000    0.000 matrix.py:70(identity)
        6    0.000    0.000    0.000    0.000 matrix.py:223(<listcomp>)
        1    0.000    0.000    0.000    0.000 functools.py:186(<setcomp>)
        1    0.000    0.000    0.000    0.000 _version_info.py:9(VersionInfo)
        1    0.000    0.000    0.000    0.000 householder.py:7(Householder)
        1    0.000    0.000    0.000    0.000 svd.py:86(<listcomp>)
        1    0.000    0.000    0.000    0.000 hooks.py:201(_HookCaller)
        1    0.000    0.000    0.000    0.000 saferepr.py:38(SafeRepr)
        1    0.000    0.000    0.000    0.000 threading.py:210(Condition)
        2    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 callers.py:31(_Result)
        1    0.000    0.000    0.000    0.000 saferepr.py:91(AlwaysDispatchingPrettyPrinter)
        1    0.000    0.000    0.000    0.000 svd.py:83(<listcomp>)
        1    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 structures.py:531(NodeKeywords)
        1    0.000    0.000    0.000    0.000 argparse.py:1265(_ActionsContainer)
        1    0.000    0.000    0.000    0.000 code.py:1140(ReprFuncArgs)
        1    0.000    0.000    0.000    0.000 subprocess.py:1048(poll)
        1    0.000    0.000    0.000    0.000 generate.py:9(generate_matrix_normal)
        1    0.000    0.000    0.000    0.000 expression.py:51(Token)
        1    0.000    0.000    0.000    0.000 configparser.py:376(BasicInterpolation)
        1    0.000    0.000    0.000    0.000 inspect.py:2445(Parameter)
        2    0.000    0.000    0.000    0.000 os.py:748(encode)
        2    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 configparser.py:1224(SafeConfigParser)
        1    0.000    0.000    0.000    0.000 metadata.py:339(DistributionFinder)
        6    0.000    0.000    0.000    0.000 pathlib.py:1045(_init)
        2    0.000    0.000    0.000    0.000 validators.py:199(optional)
        1    0.000    0.000    0.000    0.000 qr_factorization.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 _version_info.py:50(_ensure_tuple)
        1    0.000    0.000    0.000    0.000 platform.py:1076(python_implementation)
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
        1    0.000    0.000    0.000    0.000 svd.py:87(<listcomp>)
        1    0.000    0.000    0.000    0.000 typing.py:1670(__new__)
        1    0.000    0.000    0.000    0.000 fixtures.py:871(FixtureLookupErrorRepr)
        1    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 runner.py:370(SetupState)
        1    0.000    0.000    0.000    0.000 configparser.py:360(Interpolation)
        1    0.000    0.000    0.000    0.000 subprocess.py:1759(_try_wait)
        1    0.000    0.000    0.000    0.000 threading.py:1230(Timer)
        1    0.000    0.000    0.000    0.000 __init__.py:133(KeywordMatcher)
        1    0.000    0.000    0.000    0.000 code.py:1114(ReprFileLocation)
        1    0.000    0.000    0.000    0.000 inspect.py:2730(Signature)
        1    0.000    0.000    0.000    0.000 matrix_view.py:5(MatrixView)
        1    0.000    0.000    0.000    0.000 debugging.py:303(PdbTrace)
        1    0.000    0.000    0.000    0.000 <attrs generated hash _pytest.fixtures.FixtureFunctionMarker>:1(<module>)
        2    0.000    0.000    0.000    0.000 metadata.py:362(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:1457(_get_handles)
        1    0.000    0.000    0.000    0.000 local.py:143(__init__)
        2    0.000    0.000    0.000    0.000 _make.py:1329(_add_repr)
        1    0.000    0.000    0.000    0.000 typing.py:1937(BinaryIO)
        1    0.000    0.000    0.000    0.000 python.py:499(Module)
        1    0.000    0.000    0.000    0.000 threading.py:1177(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 collect.py:23(FakeCollectModule)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        1    0.000    0.000    0.000    0.000 pathlib.py:135(<setcomp>)
        4    0.000    0.000    0.000    0.000 _funcs.py:215(has)
        1    0.000    0.000    0.000    0.000 expression.py:189(Expression)
        1    0.000    0.000    0.000    0.000 code.py:1131(ReprLocals)
        1    0.000    0.000    0.000    0.000 configparser.py:448(ExtendedInterpolation)
        7    0.000    0.000    0.000    0.000 typing.py:320(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1041(_HelpAction)
        1    0.000    0.000    0.000    0.000 zipfile.py:737(_SharedFile)
        1    0.000    0.000    0.000    0.000 zipfile.py:795(ZipExtFile)
        1    0.000    0.000    0.001    0.001 metadata.py:41(EntryPoint)
        1    0.000    0.000    0.000    0.000 fixtures.py:747(SubRequest)
        1    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 zipfile.py:2249(Path)
        1    0.000    0.000    0.000    0.000 threading.py:519(set)
        3    0.000    0.000    0.000    0.000 enum.py:357(__members__)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        1    0.000    0.000    0.000    0.000 python.py:746(Class)
        1    0.000    0.000    0.000    0.000 __init__.py:103(ConftestImportFailure)
        1    0.000    0.000    0.000    0.000 validators.py:70(_MatchesReValidator)
        1    0.000    0.000    0.000    0.000 _make.py:49(_Nothing)
        5    0.000    0.000    0.000    0.000 typing.py:286(__init_subclass__)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 typing.py:1593(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparsing.py:331(OptionGroup)
        1    0.000    0.000    0.000    0.000 __init__.py:222(MarkMatcher)
        1    0.000    0.000    0.000    0.000 code.py:981(ReprExceptionInfo)
        1    0.000    0.000    0.002    0.002 apipkg.py:68(importobj)
        1    0.000    0.000    0.000    0.000 _make.py:1148(_add_hash)
        1    0.000    0.000    0.000    0.000 _make.py:2043(Factory)
        1    0.000    0.000    0.000    0.000 fixtures.py:814(FixtureLookupError)
        2    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 manager.py:52(PluginManager)
        1    0.000    0.000    0.000    0.000 code.py:1025(ReprEntryNative)
